Time	IP	IPCor	CH	Math
1	55.62830531	29.14447523	16.34601927	4.336050906
2	48.86185399	23.55565875	16.34601927	3.033674772
3	43.9280695	20.49421468	16.34601927	2.014977515
4	42.42386702	18.9900122	16.34601927	2.503344591
5	41.57280319	18.13894837	16.34601927	2.916615118
6	40.58054308	17.14668826	16.34601927	2.018269964
7	40.09408763	16.66023282	16.34601927	2.028647388
8	40.09408763	16.66023282	16.34601927	1.680638066
9	39.63393904	16.20008422	16.34601927	2.160440233
10	38.29528655	15.41994237	16.34601927	1.642770163
